day,rep,treatfact,treatnum,count
24,5,H,100,176
26,5,H,100,176
28,5,H,100,161
31,5,H,100,157
33,5,H,100,160
35,5,H,100,168
38,5,H,100,159
40,5,H,100,129
42,5,H,100,118
45,5,H,100,98
47,5,H,100,105
49,5,H,100,95
52,5,H,100,81
54,5,H,100,58
56,5,H,100,54
59,5,H,100,56
61,5,H,100,66
63,5,H,100,137
66,5,H,100,91
68,5,H,100,87
70,5,H,100,85
3,1,L,10,11
5,1,L,10,14
7,1,L,10,16
10,1,L,10,134
12,1,L,10,199
14,1,L,10,242
17,1,L,10,191
19,1,L,10,152
21,1,L,10,129
24,1,L,10,85
26,1,L,10,79
28,1,L,10,85
31,1,L,10,96
33,1,L,10,104
35,1,L,10,104
38,1,L,10,103
40,1,L,10,107
42,1,L,10,92
45,1,L,10,76
47,1,L,10,79
49,1,L,10,71
52,1,L,10,51
54,1,L,10,56
56,1,L,10,48
59,1,L,10,73
61,1,L,10,95
63,1,L,10,120
66,1,L,10,119
68,1,L,10,114
70,1,L,10,122
3,2,L,10,14
5,2,L,10,22
7,2,L,10,22
10,2,L,10,129
12,2,L,10,208
14,2,L,10,240
17,2,L,10,203
19,2,L,10,157
21,2,L,10,128
24,2,L,10,88
26,2,L,10,84
28,2,L,10,92
31,2,L,10,89
33,2,L,10,99
35,2,L,10,110
38,2,L,10,110
40,2,L,10,103
42,2,L,10,98
45,2,L,10,81
47,2,L,10,85
49,2,L,10,82
52,2,L,10,64
54,2,L,10,61
56,2,L,10,43
59,2,L,10,52
61,2,L,10,61
63,2,L,10,130
66,2,L,10,122
68,2,L,10,134
70,2,L,10,130
3,3,L,10,7
5,3,L,10,11
7,3,L,10,13
10,3,L,10,77
12,3,L,10,208
14,3,L,10,241
17,3,L,10,220
19,3,L,10,195
21,3,L,10,189
24,3,L,10,138
26,3,L,10,134
28,3,L,10,129
31,3,L,10,132
33,3,L,10,123
35,3,L,10,127
38,3,L,10,136
40,3,L,10,109
42,3,L,10,87
45,3,L,10,57
47,3,L,10,65
49,3,L,10,55
52,3,L,10,49
54,3,L,10,41
56,3,L,10,36
59,3,L,10,60
61,3,L,10,101
63,3,L,10,144
66,3,L,10,163
68,3,L,10,177
70,3,L,10,173
3,4,L,10,8
5,4,L,10,12
